	Anolis_carolinensis	Astyanax_mexicanus	Bos_taurus	Callithrix_jacchus	Canis_lupus	Chinchilla_lanigera	Danio_rerio	Gadus_morhua	Gallus_gallus	Homo_sapiens	Macaca_mulatta	Monodelphis_domestica	Mus_musculus	Oreochromis_niloticus	Ornithorhynchus_anatinus	Oryctolagus_cuniculus	Oryzias_latipes	Ovis_aries	Rattus_norvegicus	Sus_scrofa	Xenopus_tropicalis
OG0020462				Callithrix_jacchus_ENSCJAG00000018978																	
OG0020463				Callithrix_jacchus_ENSCJAG00000001116																	
OG0020464				Callithrix_jacchus_ENSCJAG00000020647																	
OG0020465				Callithrix_jacchus_ENSCJAG00000019078																	
OG0020466				Callithrix_jacchus_ENSCJAG00000006836																	
OG0020467				Callithrix_jacchus_ENSCJAG00000019142																	
OG0020468				Callithrix_jacchus_ENSCJAG00000034856																	
OG0020469				Callithrix_jacchus_ENSCJAG00000035309																	
OG0020470				Callithrix_jacchus_ENSCJAG00000021236																	
OG0020471				Callithrix_jacchus_ENSCJAG00000021875																	
OG0020472				Callithrix_jacchus_ENSCJAG00000033678																	
OG0020473				Callithrix_jacchus_ENSCJAG00000034550																	
OG0020474				Callithrix_jacchus_ENSCJAG00000013629																	
OG0020475				Callithrix_jacchus_ENSCJAG00000032259																	
OG0020476				Callithrix_jacchus_ENSCJAG00000003417																	
OG0020477				Callithrix_jacchus_ENSCJAG00000008121																	
OG0020478				Callithrix_jacchus_ENSCJAG00000035278																	
OG0020479				Callithrix_jacchus_ENSCJAG00000034298																	
OG0020480				Callithrix_jacchus_ENSCJAG00000033787																	
OG0020481				Callithrix_jacchus_ENSCJAG00000011848																	
OG0020482				Callithrix_jacchus_ENSCJAG00000009199																	
OG0020483				Callithrix_jacchus_ENSCJAG00000002063																	
OG0020484				Callithrix_jacchus_ENSCJAG00000033258																	
OG0020485				Callithrix_jacchus_ENSCJAG00000008177																	
OG0020486				Callithrix_jacchus_ENSCJAG00000007259																	
OG0020487				Callithrix_jacchus_ENSCJAG00000010862																	
OG0020488				Callithrix_jacchus_ENSCJAG00000010926																	
OG0020489				Callithrix_jacchus_ENSCJAG00000035902																	
OG0020490				Callithrix_jacchus_ENSCJAG00000034166																	
OG0020491				Callithrix_jacchus_ENSCJAG00000032275																	
OG0020492				Callithrix_jacchus_ENSCJAG00000038031																	
OG0020493				Callithrix_jacchus_ENSCJAG00000035595																	
OG0020494				Callithrix_jacchus_ENSCJAG00000015681																	
OG0020495				Callithrix_jacchus_ENSCJAG00000004037																	
OG0020496				Callithrix_jacchus_ENSCJAG00000008794																	
OG0020497				Callithrix_jacchus_ENSCJAG00000009875																	
OG0020498				Callithrix_jacchus_ENSCJAG00000019328																	
OG0020499				Callithrix_jacchus_ENSCJAG00000004724																	
OG0020500				Callithrix_jacchus_ENSCJAG00000004714																	
OG0020501				Callithrix_jacchus_ENSCJAG00000015001																	
OG0020502				Callithrix_jacchus_ENSCJAG00000014950																	
OG0020503				Callithrix_jacchus_ENSCJAG00000015987																	
OG0020504				Callithrix_jacchus_ENSCJAG00000015990																	
OG0020505				Callithrix_jacchus_ENSCJAG00000010180																	
OG0020506				Callithrix_jacchus_ENSCJAG00000034508																	
OG0020507				Callithrix_jacchus_ENSCJAG00000004033																	
OG0020508				Callithrix_jacchus_ENSCJAG00000018670																	
OG0020509				Callithrix_jacchus_ENSCJAG00000033924																	
OG0020510				Callithrix_jacchus_ENSCJAG00000021040																	
OG0020511				Callithrix_jacchus_ENSCJAG00000034660																	
OG0020512				Callithrix_jacchus_ENSCJAG00000037992																	
OG0020513				Callithrix_jacchus_ENSCJAG00000034988																	
OG0020514				Callithrix_jacchus_ENSCJAG00000014329																	
OG0020515				Callithrix_jacchus_ENSCJAG00000012837																	
OG0020516				Callithrix_jacchus_ENSCJAG00000035249																	
OG0020517				Callithrix_jacchus_ENSCJAG00000000660																	
OG0020518				Callithrix_jacchus_ENSCJAG00000000702																	
OG0020519				Callithrix_jacchus_ENSCJAG00000014335																	
OG0020520				Callithrix_jacchus_ENSCJAG00000035583																	
OG0020521				Callithrix_jacchus_ENSCJAG00000016273																	
OG0020522				Callithrix_jacchus_ENSCJAG00000033850																	
OG0020523				Callithrix_jacchus_ENSCJAG00000020544																	
OG0020524				Callithrix_jacchus_ENSCJAG00000031660																	
OG0020525				Callithrix_jacchus_ENSCJAG00000000918																	
OG0020526				Callithrix_jacchus_ENSCJAG00000036636																	
OG0020527				Callithrix_jacchus_ENSCJAG00000031968																	
OG0020528				Callithrix_jacchus_ENSCJAG00000011445																	
OG0020529				Callithrix_jacchus_ENSCJAG00000003486																	
OG0020530				Callithrix_jacchus_ENSCJAG00000033957																	
OG0020531				Callithrix_jacchus_ENSCJAG00000018868																	
OG0020532				Callithrix_jacchus_ENSCJAG00000034701																	
OG0020533				Callithrix_jacchus_ENSCJAG00000011297																	
OG0020534				Callithrix_jacchus_ENSCJAG00000034784																	
OG0020535				Callithrix_jacchus_ENSCJAG00000018903																	
OG0020536				Callithrix_jacchus_ENSCJAG00000021509																	
OG0020537				Callithrix_jacchus_ENSCJAG00000033877																	
OG0020538				Callithrix_jacchus_ENSCJAG00000011331																	
OG0020539				Callithrix_jacchus_ENSCJAG00000009569																	
OG0020540				Callithrix_jacchus_ENSCJAG00000009480																	
OG0020541				Callithrix_jacchus_ENSCJAG00000033089																	
OG0020542				Callithrix_jacchus_ENSCJAG00000031683																	
OG0020543				Callithrix_jacchus_ENSCJAG00000032266																	
OG0020544				Callithrix_jacchus_ENSCJAG00000035286																	
OG0020545				Callithrix_jacchus_ENSCJAG00000034173																	
OG0020546				Callithrix_jacchus_ENSCJAG00000034034																	
OG0020547				Callithrix_jacchus_ENSCJAG00000032103																	
OG0020548				Callithrix_jacchus_ENSCJAG00000031137																	
OG0020549				Callithrix_jacchus_ENSCJAG00000035216																	
OG0020550				Callithrix_jacchus_ENSCJAG00000021331																	
OG0020551				Callithrix_jacchus_ENSCJAG00000033070																	
OG0020552				Callithrix_jacchus_ENSCJAG00000005373																	
OG0020553				Callithrix_jacchus_ENSCJAG00000003100																	
OG0020554				Callithrix_jacchus_ENSCJAG00000034315																	
OG0020555				Callithrix_jacchus_ENSCJAG00000034317																	
OG0020556				Callithrix_jacchus_ENSCJAG00000002844																	
OG0020557				Callithrix_jacchus_ENSCJAG00000033918																	
OG0020558				Callithrix_jacchus_ENSCJAG00000033009																	
OG0020559				Callithrix_jacchus_ENSCJAG00000012364																	
OG0020560				Callithrix_jacchus_ENSCJAG00000012122																	
OG0020561				Callithrix_jacchus_ENSCJAG00000012068																	
OG0020562				Callithrix_jacchus_ENSCJAG00000031917																	
OG0020563				Callithrix_jacchus_ENSCJAG00000011195																	
OG0020564				Callithrix_jacchus_ENSCJAG00000033495																	
OG0020565				Callithrix_jacchus_ENSCJAG00000001236																	
OG0020566				Callithrix_jacchus_ENSCJAG00000001298																	
OG0020567				Callithrix_jacchus_ENSCJAG00000001485																	
OG0020568				Callithrix_jacchus_ENSCJAG00000002839																	
OG0020569				Callithrix_jacchus_ENSCJAG00000020087																	
OG0020570				Callithrix_jacchus_ENSCJAG00000031773																	
OG0020571				Callithrix_jacchus_ENSCJAG00000032565																	
OG0020572				Callithrix_jacchus_ENSCJAG00000004106																	
OG0020573				Callithrix_jacchus_ENSCJAG00000034847																	
OG0020574				Callithrix_jacchus_ENSCJAG00000031932																	
OG0020575				Callithrix_jacchus_ENSCJAG00000011805																	
OG0020576				Callithrix_jacchus_ENSCJAG00000005131																	
OG0020577				Callithrix_jacchus_ENSCJAG00000023069																	
OG0020578				Callithrix_jacchus_ENSCJAG00000015390																	
OG0020579				Callithrix_jacchus_ENSCJAG00000015414																	
OG0020580				Callithrix_jacchus_ENSCJAG00000015417																	
OG0020581				Callithrix_jacchus_ENSCJAG00000020984																	
OG0020582				Callithrix_jacchus_ENSCJAG00000032446																	
OG0020583				Callithrix_jacchus_ENSCJAG00000015893																	
OG0020584				Callithrix_jacchus_ENSCJAG00000002025																	
OG0020585				Callithrix_jacchus_ENSCJAG00000008638																	
OG0020586				Callithrix_jacchus_ENSCJAG00000006727																	
OG0020587				Callithrix_jacchus_ENSCJAG00000035397																	
OG0020588				Callithrix_jacchus_ENSCJAG00000035189																	
OG0020589				Callithrix_jacchus_ENSCJAG00000032904																	
OG0020590				Callithrix_jacchus_ENSCJAG00000018242																	
OG0020591				Callithrix_jacchus_ENSCJAG00000033338																	
OG0020592				Callithrix_jacchus_ENSCJAG00000034053																	
OG0020593				Callithrix_jacchus_ENSCJAG00000004222																	
OG0020594				Callithrix_jacchus_ENSCJAG00000008942																	
OG0020595				Callithrix_jacchus_ENSCJAG00000032317																	
OG0020596				Callithrix_jacchus_ENSCJAG00000010591																	
OG0020597				Callithrix_jacchus_ENSCJAG00000019848																	
OG0020598				Callithrix_jacchus_ENSCJAG00000021391																	
OG0020599				Callithrix_jacchus_ENSCJAG00000020557																	
OG0020600				Callithrix_jacchus_ENSCJAG00000005669																	
OG0020601				Callithrix_jacchus_ENSCJAG00000005708																	
OG0020602				Callithrix_jacchus_ENSCJAG00000019785																	
OG0020603				Callithrix_jacchus_ENSCJAG00000000041																	
OG0020604				Callithrix_jacchus_ENSCJAG00000009353																	
OG0020605				Callithrix_jacchus_ENSCJAG00000004664																	
OG0020606				Callithrix_jacchus_ENSCJAG00000022987																	
OG0020607				Callithrix_jacchus_ENSCJAG00000019577																	
OG0020608				Callithrix_jacchus_ENSCJAG00000004832																	
OG0020609				Callithrix_jacchus_ENSCJAG00000035431																	
OG0020610				Callithrix_jacchus_ENSCJAG00000005024																	
OG0020611				Callithrix_jacchus_ENSCJAG00000005031																	
OG0020612				Callithrix_jacchus_ENSCJAG00000033937																	
OG0020613				Callithrix_jacchus_ENSCJAG00000032293																	
OG0020614				Callithrix_jacchus_ENSCJAG00000034536																	
OG0020615				Callithrix_jacchus_ENSCJAG00000008858																	
OG0020616				Callithrix_jacchus_ENSCJAG00000008847																	
OG0020617				Callithrix_jacchus_ENSCJAG00000008797																	
OG0020618				Callithrix_jacchus_ENSCJAG00000005641																	
OG0020619				Callithrix_jacchus_ENSCJAG00000010569																	
OG0020620				Callithrix_jacchus_ENSCJAG00000037778																	
OG0020621				Callithrix_jacchus_ENSCJAG00000010492																	
OG0020622				Callithrix_jacchus_ENSCJAG00000013751																	
OG0020623				Callithrix_jacchus_ENSCJAG00000013732																	
OG0020624				Callithrix_jacchus_ENSCJAG00000005588																	
OG0020625				Callithrix_jacchus_ENSCJAG00000018685																	
OG0020626				Callithrix_jacchus_ENSCJAG00000003226																	
OG0020627				Callithrix_jacchus_ENSCJAG00000000141																	
OG0020628				Callithrix_jacchus_ENSCJAG00000008655																	
OG0020629				Callithrix_jacchus_ENSCJAG00000032014																	
OG0020630				Callithrix_jacchus_ENSCJAG00000005676																	
OG0020631				Callithrix_jacchus_ENSCJAG00000031815																	
OG0020632				Callithrix_jacchus_ENSCJAG00000008485																	
OG0020633				Callithrix_jacchus_ENSCJAG00000017460																	
OG0020634				Callithrix_jacchus_ENSCJAG00000032430																	
OG0020635				Callithrix_jacchus_ENSCJAG00000016718																	
OG0020636				Callithrix_jacchus_ENSCJAG00000033902																	
OG0020637				Callithrix_jacchus_ENSCJAG00000033978																	
OG0020638				Callithrix_jacchus_ENSCJAG00000000761																	
OG0020639				Callithrix_jacchus_ENSCJAG00000033127																	
OG0020640				Callithrix_jacchus_ENSCJAG00000017748																	
OG0020641				Callithrix_jacchus_ENSCJAG00000032244																	
OG0020642				Callithrix_jacchus_ENSCJAG00000006221																	
OG0020643				Callithrix_jacchus_ENSCJAG00000004697																	
OG0020644				Callithrix_jacchus_ENSCJAG00000019151																	
OG0020645				Callithrix_jacchus_ENSCJAG00000019149																	
OG0020646				Callithrix_jacchus_ENSCJAG00000033921																	
OG0020647				Callithrix_jacchus_ENSCJAG00000003586																	
OG0020648				Callithrix_jacchus_ENSCJAG00000037566																	
OG0020649				Callithrix_jacchus_ENSCJAG00000035472																	
OG0020650				Callithrix_jacchus_ENSCJAG00000020055																	
OG0020651				Callithrix_jacchus_ENSCJAG00000022894																	
OG0020652				Callithrix_jacchus_ENSCJAG00000031284																	
OG0020653				Callithrix_jacchus_ENSCJAG00000031633																	
OG0020654				Callithrix_jacchus_ENSCJAG00000003022																	
OG0020655				Callithrix_jacchus_ENSCJAG00000022771																	
OG0020656				Callithrix_jacchus_ENSCJAG00000022626																	
OG0020657				Callithrix_jacchus_ENSCJAG00000004693																	
OG0020658				Callithrix_jacchus_ENSCJAG00000022372																	
OG0020659				Callithrix_jacchus_ENSCJAG00000021837																	
OG0020660				Callithrix_jacchus_ENSCJAG00000011194																	
OG0020661				Callithrix_jacchus_ENSCJAG00000011976																	
OG0020662				Callithrix_jacchus_ENSCJAG00000014150																	
OG0020663				Callithrix_jacchus_ENSCJAG00000001476																	
OG0020664				Callithrix_jacchus_ENSCJAG00000000005																	
OG0020665				Callithrix_jacchus_ENSCJAG00000007658																	
OG0020666				Callithrix_jacchus_ENSCJAG00000033779																	
OG0020667				Callithrix_jacchus_ENSCJAG00000034624																	
OG0020668				Callithrix_jacchus_ENSCJAG00000033232																	
OG0020669				Callithrix_jacchus_ENSCJAG00000022388																	
OG0020670				Callithrix_jacchus_ENSCJAG00000032065																	
OG0020671				Callithrix_jacchus_ENSCJAG00000023337																	
OG0020672				Callithrix_jacchus_ENSCJAG00000023032																	
OG0020673				Callithrix_jacchus_ENSCJAG00000023143																	
OG0020674				Callithrix_jacchus_ENSCJAG00000022089																	
OG0020675				Callithrix_jacchus_ENSCJAG00000034137																	
OG0020676				Callithrix_jacchus_ENSCJAG00000035071																	
OG0020677				Callithrix_jacchus_ENSCJAG00000002603																	
OG0020678				Callithrix_jacchus_ENSCJAG00000001533																	
OG0020679				Callithrix_jacchus_ENSCJAG00000035276																	
OG0020680				Callithrix_jacchus_ENSCJAG00000022943																	
OG0020681				Callithrix_jacchus_ENSCJAG00000021878																	
OG0020682				Callithrix_jacchus_ENSCJAG00000018763																	
OG0020683				Callithrix_jacchus_ENSCJAG00000021877																	
OG0020684				Callithrix_jacchus_ENSCJAG00000032136																	
OG0020685				Callithrix_jacchus_ENSCJAG00000009545																	
OG0020686				Callithrix_jacchus_ENSCJAG00000036982																	
OG0020687				Callithrix_jacchus_ENSCJAG00000035319																	
OG0020688				Callithrix_jacchus_ENSCJAG00000021882																	
OG0020689				Callithrix_jacchus_ENSCJAG00000018984																	
OG0020690				Callithrix_jacchus_ENSCJAG00000022612																	
OG0020691				Callithrix_jacchus_ENSCJAG00000021719																	
OG0020692				Callithrix_jacchus_ENSCJAG00000031963																	
OG0020693				Callithrix_jacchus_ENSCJAG00000019990																	
OG0020694				Callithrix_jacchus_ENSCJAG00000009316																	
OG0020695				Callithrix_jacchus_ENSCJAG00000036731																	
OG0020696				Callithrix_jacchus_ENSCJAG00000033714																	
OG0020697				Callithrix_jacchus_ENSCJAG00000022296																	
OG0020698				Callithrix_jacchus_ENSCJAG00000034025																	
OG0020699				Callithrix_jacchus_ENSCJAG00000001608																	
OG0020700				Callithrix_jacchus_ENSCJAG00000036200																	
OG0020701				Callithrix_jacchus_ENSCJAG00000017605																	
OG0020702				Callithrix_jacchus_ENSCJAG00000032325																	
OG0020703				Callithrix_jacchus_ENSCJAG00000002055																	
OG0020704				Callithrix_jacchus_ENSCJAG00000019668																	
OG0020705				Callithrix_jacchus_ENSCJAG00000036093																	
OG0020706				Callithrix_jacchus_ENSCJAG00000022409																	
OG0020707				Callithrix_jacchus_ENSCJAG00000004869																	
OG0020708				Callithrix_jacchus_ENSCJAG00000012321																	
OG0020709				Callithrix_jacchus_ENSCJAG00000023362																	
OG0020710				Callithrix_jacchus_ENSCJAG00000022027																	
OG0020711				Callithrix_jacchus_ENSCJAG00000022861																	
OG0020712				Callithrix_jacchus_ENSCJAG00000033744																	
OG0020713				Callithrix_jacchus_ENSCJAG00000009655																	
OG0020714				Callithrix_jacchus_ENSCJAG00000034185																	
OG0020715				Callithrix_jacchus_ENSCJAG00000032550																	
OG0020716				Callithrix_jacchus_ENSCJAG00000034293																	
OG0020717				Callithrix_jacchus_ENSCJAG00000000650																	
OG0020718				Callithrix_jacchus_ENSCJAG00000031501																	
OG0020719				Callithrix_jacchus_ENSCJAG00000021809																	
OG0020720				Callithrix_jacchus_ENSCJAG00000034785																	
OG0020721				Callithrix_jacchus_ENSCJAG00000008266																	
OG0020722				Callithrix_jacchus_ENSCJAG00000002692																	
OG0020723				Callithrix_jacchus_ENSCJAG00000002116																	
OG0020724				Callithrix_jacchus_ENSCJAG00000022335																	
OG0020725				Callithrix_jacchus_ENSCJAG00000022151																	
OG0020726				Callithrix_jacchus_ENSCJAG00000031789																	
OG0020727				Callithrix_jacchus_ENSCJAG00000022425																	
OG0020728				Callithrix_jacchus_ENSCJAG00000022883																	
OG0020729				Callithrix_jacchus_ENSCJAG00000033074																	
OG0020730				Callithrix_jacchus_ENSCJAG00000000665																	
OG0020731				Callithrix_jacchus_ENSCJAG00000019063																	
OG0020732				Callithrix_jacchus_ENSCJAG00000019076																	
OG0020733				Callithrix_jacchus_ENSCJAG00000034894																	
OG0020734				Callithrix_jacchus_ENSCJAG00000000455																	
OG0020735				Callithrix_jacchus_ENSCJAG00000033231																	
OG0020736				Callithrix_jacchus_ENSCJAG00000002221																	
OG0020737				Callithrix_jacchus_ENSCJAG00000018744																	
OG0020738				Callithrix_jacchus_ENSCJAG00000034884																	
OG0020739				Callithrix_jacchus_ENSCJAG00000004416																	
OG0020740				Callithrix_jacchus_ENSCJAG00000004320																	
OG0020741				Callithrix_jacchus_ENSCJAG00000033591																	
OG0020742				Callithrix_jacchus_ENSCJAG00000013593																	
OG0020743				Callithrix_jacchus_ENSCJAG00000021648																	
OG0020744				Callithrix_jacchus_ENSCJAG00000010890																	
OG0020745				Callithrix_jacchus_ENSCJAG00000034680																	
OG0020746				Callithrix_jacchus_ENSCJAG00000023321																	
OG0020747				Callithrix_jacchus_ENSCJAG00000031627																	
OG0020748				Callithrix_jacchus_ENSCJAG00000023401																	
OG0020749				Callithrix_jacchus_ENSCJAG00000034259																	
OG0020750				Callithrix_jacchus_ENSCJAG00000012430																	
OG0020751				Callithrix_jacchus_ENSCJAG00000038127																	
OG0020752				Callithrix_jacchus_ENSCJAG00000009001																	
OG0020753				Callithrix_jacchus_ENSCJAG00000010574																	
OG0020754				Callithrix_jacchus_ENSCJAG00000010231																	
OG0020755				Callithrix_jacchus_ENSCJAG00000033420																	
OG0020756				Callithrix_jacchus_ENSCJAG00000022785																	
OG0020757				Callithrix_jacchus_ENSCJAG00000032328																	
OG0020758				Callithrix_jacchus_ENSCJAG00000034055																	
OG0020759				Callithrix_jacchus_ENSCJAG00000015707																	
OG0020760				Callithrix_jacchus_ENSCJAG00000023269																	
OG0020761				Callithrix_jacchus_ENSCJAG00000022271																	
OG0020762				Callithrix_jacchus_ENSCJAG00000023390																	
OG0020763				Callithrix_jacchus_ENSCJAG00000035800																	
OG0020764				Callithrix_jacchus_ENSCJAG00000022406																	
OG0020765				Callithrix_jacchus_ENSCJAG00000034694																	
OG0020766				Callithrix_jacchus_ENSCJAG00000031546																	
OG0020767				Callithrix_jacchus_ENSCJAG00000012462																	
OG0020768				Callithrix_jacchus_ENSCJAG00000034210																	
OG0020769				Callithrix_jacchus_ENSCJAG00000035318																	
OG0020770				Callithrix_jacchus_ENSCJAG00000031225																	
OG0020771				Callithrix_jacchus_ENSCJAG00000022536																	
OG0020772				Callithrix_jacchus_ENSCJAG00000022552																	
OG0020773				Callithrix_jacchus_ENSCJAG00000022022																	
OG0020774				Callithrix_jacchus_ENSCJAG00000034249																	
OG0020775				Callithrix_jacchus_ENSCJAG00000003089																	
OG0020776				Callithrix_jacchus_ENSCJAG00000006617																	
OG0020777				Callithrix_jacchus_ENSCJAG00000035158																	
OG0020778				Callithrix_jacchus_ENSCJAG00000034110																	
OG0020779				Callithrix_jacchus_ENSCJAG00000023328																	
OG0020780				Callithrix_jacchus_ENSCJAG00000033766																	
OG0020781				Callithrix_jacchus_ENSCJAG00000031129																	
OG0020782				Callithrix_jacchus_ENSCJAG00000034591																	
OG0020783				Callithrix_jacchus_ENSCJAG00000032648																	
OG0020784				Callithrix_jacchus_ENSCJAG00000021921																	
OG0020785				Callithrix_jacchus_ENSCJAG00000012820																	
OG0020786				Callithrix_jacchus_ENSCJAG00000034733																	
OG0020787				Callithrix_jacchus_ENSCJAG00000008861																	
OG0020788				Callithrix_jacchus_ENSCJAG00000004004																	
OG0020789				Callithrix_jacchus_ENSCJAG00000014872																	
OG0020790				Callithrix_jacchus_ENSCJAG00000035865																	
OG0020791				Callithrix_jacchus_ENSCJAG00000035483																	
OG0020792				Callithrix_jacchus_ENSCJAG00000022455																	
OG0020793				Callithrix_jacchus_ENSCJAG00000022956																	
OG0020794				Callithrix_jacchus_ENSCJAG00000033144																	
OG0020795				Callithrix_jacchus_ENSCJAG00000031419																	
OG0020796				Callithrix_jacchus_ENSCJAG00000022311																	
OG0020797				Callithrix_jacchus_ENSCJAG00000010855																	
OG0020798				Callithrix_jacchus_ENSCJAG00000038039																	
OG0020799				Callithrix_jacchus_ENSCJAG00000022295																	
OG0020800				Callithrix_jacchus_ENSCJAG00000032958																	
OG0020801				Callithrix_jacchus_ENSCJAG00000033792																	
OG0020802				Callithrix_jacchus_ENSCJAG00000033989																	
OG0020803				Callithrix_jacchus_ENSCJAG00000037688																	
OG0020804				Callithrix_jacchus_ENSCJAG00000022472																	
OG0020805				Callithrix_jacchus_ENSCJAG00000033084																	
OG0020806				Callithrix_jacchus_ENSCJAG00000008979																	
OG0020807				Callithrix_jacchus_ENSCJAG00000005099																	
OG0020808				Callithrix_jacchus_ENSCJAG00000035425																	
OG0020809				Callithrix_jacchus_ENSCJAG00000031733																	
OG0020810				Callithrix_jacchus_ENSCJAG00000036576																	
OG0020811				Callithrix_jacchus_ENSCJAG00000031366																	
OG0020812				Callithrix_jacchus_ENSCJAG00000021871																	
OG0020813				Callithrix_jacchus_ENSCJAG00000011563																	
OG0020814				Callithrix_jacchus_ENSCJAG00000031897																	
OG0020815				Callithrix_jacchus_ENSCJAG00000005859																	
OG0020816				Callithrix_jacchus_ENSCJAG00000014677																	
OG0020817				Callithrix_jacchus_ENSCJAG00000032502																	
OG0020818				Callithrix_jacchus_ENSCJAG00000032765																	
OG0020819				Callithrix_jacchus_ENSCJAG00000032272																	
OG0020820				Callithrix_jacchus_ENSCJAG00000002061																	
OG0020821				Callithrix_jacchus_ENSCJAG00000031516																	
OG0020822				Callithrix_jacchus_ENSCJAG00000000261																	
OG0020823				Callithrix_jacchus_ENSCJAG00000019813																	
OG0020824				Callithrix_jacchus_ENSCJAG00000022488																	
OG0020825				Callithrix_jacchus_ENSCJAG00000032106																	
OG0020826				Callithrix_jacchus_ENSCJAG00000010191																	
OG0020827				Callithrix_jacchus_ENSCJAG00000022186																	
OG0020828				Callithrix_jacchus_ENSCJAG00000033246																	
OG0020829				Callithrix_jacchus_ENSCJAG00000023116																	
OG0020830				Callithrix_jacchus_ENSCJAG00000034211																	
OG0020831				Callithrix_jacchus_ENSCJAG00000032733																	
OG0020832				Callithrix_jacchus_ENSCJAG00000034583																	
OG0020833				Callithrix_jacchus_ENSCJAG00000010846																	
OG0020834				Callithrix_jacchus_ENSCJAG00000033683																	
OG0020835				Callithrix_jacchus_ENSCJAG00000011383																	
OG0020836				Callithrix_jacchus_ENSCJAG00000032222																	
OG0020837				Callithrix_jacchus_ENSCJAG00000031788																	
OG0020838				Callithrix_jacchus_ENSCJAG00000022543																	
OG0020839				Callithrix_jacchus_ENSCJAG00000022131																	
OG0020840				Callithrix_jacchus_ENSCJAG00000022166																	
OG0020841				Callithrix_jacchus_ENSCJAG00000000801																	
OG0020842				Callithrix_jacchus_ENSCJAG00000011971																	
OG0020843				Callithrix_jacchus_ENSCJAG00000004403																	
OG0020844				Callithrix_jacchus_ENSCJAG00000031411																	
OG0020845				Callithrix_jacchus_ENSCJAG00000018631																	
OG0020846				Callithrix_jacchus_ENSCJAG00000021372																	
OG0020847				Callithrix_jacchus_ENSCJAG00000021365																	
OG0020848				Callithrix_jacchus_ENSCJAG00000007350																	
OG0020849				Callithrix_jacchus_ENSCJAG00000000130																	
OG0020850				Callithrix_jacchus_ENSCJAG00000031489																	
OG0020851				Callithrix_jacchus_ENSCJAG00000031183																	
OG0020852				Callithrix_jacchus_ENSCJAG00000034397																	
OG0020853				Callithrix_jacchus_ENSCJAG00000004831																	
OG0020854				Callithrix_jacchus_ENSCJAG00000016030																	
OG0020855				Callithrix_jacchus_ENSCJAG00000016016																	
OG0020856				Callithrix_jacchus_ENSCJAG00000006996																	
OG0020857				Callithrix_jacchus_ENSCJAG00000005157																	
OG0020858				Callithrix_jacchus_ENSCJAG00000006104																	
OG0020859				Callithrix_jacchus_ENSCJAG00000008872																	
OG0020860				Callithrix_jacchus_ENSCJAG00000008871																	
OG0020861				Callithrix_jacchus_ENSCJAG00000008840																	
OG0020862				Callithrix_jacchus_ENSCJAG00000008773																	
OG0020863				Callithrix_jacchus_ENSCJAG00000010514																	
OG0020864				Callithrix_jacchus_ENSCJAG00000032562																	
OG0020865				Callithrix_jacchus_ENSCJAG00000032778																	
OG0020866				Callithrix_jacchus_ENSCJAG00000002731																	
OG0020867				Callithrix_jacchus_ENSCJAG00000016382																	
OG0020868				Callithrix_jacchus_ENSCJAG00000033590																	
OG0020869				Callithrix_jacchus_ENSCJAG00000010673																	
OG0020870				Callithrix_jacchus_ENSCJAG00000035352																	
OG0020871				Callithrix_jacchus_ENSCJAG00000002497																	
OG0020872				Callithrix_jacchus_ENSCJAG00000035297																	
OG0020873				Callithrix_jacchus_ENSCJAG00000033589																	
OG0020874				Callithrix_jacchus_ENSCJAG00000017385																	
OG0020875				Callithrix_jacchus_ENSCJAG00000017273																	
OG0020876				Callithrix_jacchus_ENSCJAG00000017519																	
OG0020877				Callithrix_jacchus_ENSCJAG00000017521																	
OG0020878				Callithrix_jacchus_ENSCJAG00000016927																	
OG0020879				Callithrix_jacchus_ENSCJAG00000031938																	
OG0020880				Callithrix_jacchus_ENSCJAG00000031322																	
OG0020881				Callithrix_jacchus_ENSCJAG00000017444																	
OG0020882				Callithrix_jacchus_ENSCJAG00000002270																	
OG0020883				Callithrix_jacchus_ENSCJAG00000000742																	
OG0020884				Callithrix_jacchus_ENSCJAG00000020657																	
OG0020885				Callithrix_jacchus_ENSCJAG00000011425																	
OG0020886				Callithrix_jacchus_ENSCJAG00000020398																	
OG0020887				Callithrix_jacchus_ENSCJAG00000013195																	
OG0020888				Callithrix_jacchus_ENSCJAG00000000791																	
OG0020889				Callithrix_jacchus_ENSCJAG00000035729																	
OG0020890				Callithrix_jacchus_ENSCJAG00000031648																	
OG0020891				Callithrix_jacchus_ENSCJAG00000008599																	
OG0020892				Callithrix_jacchus_ENSCJAG00000032163																	
OG0020893				Callithrix_jacchus_ENSCJAG00000015025																	
OG0020894				Callithrix_jacchus_ENSCJAG00000019244																	
OG0020895				Callithrix_jacchus_ENSCJAG00000009201																	
OG0020896				Callithrix_jacchus_ENSCJAG00000018333																	
OG0020897				Callithrix_jacchus_ENSCJAG00000019044																	
OG0020898				Callithrix_jacchus_ENSCJAG00000018427																	
OG0020899				Callithrix_jacchus_ENSCJAG00000031919																	
OG0020900				Callithrix_jacchus_ENSCJAG00000032777																	
OG0020901				Callithrix_jacchus_ENSCJAG00000020255																	
OG0020902				Callithrix_jacchus_ENSCJAG00000035075																	
OG0020903				Callithrix_jacchus_ENSCJAG00000033058																	
OG0020904				Callithrix_jacchus_ENSCJAG00000031860																	
OG0020905				Callithrix_jacchus_ENSCJAG00000001008																	
